,service_name,description,user_symptoms,vendor,year
173,Amazon CloudWatch (London)," 9:02 PM PDT We are investigating increased faults for CloudWatch alarms APIs and delays in processing some alarms in the EU-WEST-2 Region. 9:55 PM PDT We can confirm an elevated rate of CloudWatch Alarms API faults and delays in processing some alarms in EU-WEST-2 Region and continue to work towards full recovery.10:04 PM PDT Between 8:27 PM and 9:55 PM PDT, customers may have experienced elevated alarms API faults and delayed alarms in the EU-WEST-2 Region. We have resolved the issue and the service is operating normally.",[RESOLVED] Elevated API faults and alarm delays,AWS,2020
371,Amazon CloudWatch (Oregon)," 7:02 PM PDT We are investigating increased faults for CloudWatch Logs APIs in the US-WEST-2 Region. Log events and metrics may be delayed. Alarms may transition into ""INSUFFICIENT_DATA"" state if set on delayed metrics. 7:43 PM PDT We can confirm increased faults for CloudWatch Logs APIs and some delayed log events in the US-WEST-2 Region. We are actively working to resolve the issue.10:09 PM PDT We can confirm partial recovery of API faults and reduced delay of log events in the US-WEST-2 Region. We have identified the root cause and are actively working to resolve the issue.10:45 PM PDT  Between 5:56 PM and 10:15 PM PDT, some customers experienced increased delays for CloudWatch log events in the US-WEST-2 Region. Metrics filtered from those log events were delayed, and CloudWatch alarms on delayed metrics may have transitioned into INSUFFICIENT_DATA state. The issue has been resolved and the service is operating normally.",[RESOLVED] Increased API Error Rates,AWS,2019
197,Amazon CloudWatch (N. Virginia)," 6:22 PM PDT We are investigating elevated rate of API faults and delays in processing some alarms in the US-EAST-1 Region. We are actively working to resolve the issue. 6:42 PM PDT We can confirm that scheduled events are not being delivered via CloudWatch Events in the US-EAST-1 Region. We are actively working to resolve the issue.  6:49 PM PDT We can confirm that scheduled events are not being delivered via CloudWatch Events in the US-EAST-1 Region. AWS Lambda functions that are invoked in response to CloudWatch events may not be getting invoked successfully. We are actively working to resolve the issue. 7:34 PM PDT We have identified the root cause of the errors in scheduled event creation. We can confirm that AWS Lambda functions that are invoked in response to scheduled CloudWatch events are not getting invoked successfully. We are actively working towards recovery. 8:49 PM PDT We are starting to see recovery of scheduled CloudWatch event delivery. We are also starting to see recovery of AWS Lambda functions that were set up to be invoked from scheduled CloudWatch events.  9:48 PM PDT Starting at 5:27 PM PDT, there were delays delivering scheduled CloudWatch events. Recovery began at 7:31 PM PDT, and by 9:28 PM PDT the backlog of all previously scheduled CloudWatch events was successfully delivered. AWS Lambda functions that were configured to be triggered from scheduled CloudWatch events are now being invoked normally. During this entire duration all other kinds of CloudWatch events and other Lambda function invocations continued to operate normally. All issues are fully resolved and the services are operating normally.",[RESOLVED] Elevated Error Rates,AWS,2020
330,Amazon CloudWatch (N. Virginia)," 7:41 PM PST We are investigating increased delays for CloudWatch metrics in the US-EAST-1 Region. CloudWatch alarms may transition into ""INSUFFICIENT_DATA"" state if set on delayed metrics.  8:31 PM PST We continue to investigate elevated API error rates and increased delays for CloudWatch metrics in the US-EAST-1 Region. CloudWatch alarms may transition into ""INSUFFICIENT_DATA"" state if set on delayed metrics. 9:32 PM PST Between 7:16 PM and 9:08 PM PST, some customers experienced elevated error rates when calling CloudWatch APIs in the US-EAST-1 Region. Some metrics were delayed, and CloudWatch alarms on delayed metrics transitioned into INSUFFICIENT_DATA state. We have resolved the issue. Delayed metrics are in the process of backfilling in CloudWatch console graphs and for API retrieval. The service is operating normally.",[RESOLVED] Elevated API Errors and Delayed metrics,AWS,2020
279,Amazon CloudWatch (London)," 5:10 AM PDT We are investigating increased faults and latencies for CloudWatch APIs and metrics in the EU-WEST-2 Region. 5:24 AM PDT We can confirm elevated API faults and some delayed metrics in EU-WEST-2 Region. We are actively working to resolve the issue. 6:04 AM PDT We have identified the root cause for elevated API faults and latencies for the GetMetricData and GetMetricWidgetImage APIs in the EU-WEST-2 Region. We are actively working to resolve the issue and are starting to see recovery. 6:32 AM PDT We have identified the root cause for elevated API faults and latencies for the GetMetricData and GetMetricWidgetImage APIs in the EU-WEST-2 Region. We can confirm significant recovery and are working actively to fully resolve the issue. 8:02 AM PDT Between 4:07 AM and 7:28 AM PDT, customers experienced elevated API fault rates and latencies in the EU-WEST-2 Region. Some metrics were also delayed initially. We have resolved the issue and the service is operating normally.",[RESOLVED] Elevated latencies and Faults in EU-WEST-2,AWS,2020
505,Amazon CloudWatch (Ireland),"11:59 AM PDT We are investigating increased delays for CloudWatch metrics in the EU-WEST-1 Region. CloudWatch alarms may transition into ""INSUFFICIENT_DATA"" state if set on delayed metrics.12:20 PM PDT We can confirm increased delays for CloudWatch ELB metrics in the EU-WEST-1 Region. CloudWatch alarms may transition into ""INSUFFICIENT_DATA"" state if set on delayed metrics.12:34 PM PDT Between 9:55 AM and 12:25 PM PDT, some customers may have experienced intermittent delays in the availability of CloudWatch ELB metrics in the EU-WEST-1 Region. The issue has been resolved and the service is operating normally.",[RESOLVED] Delayed Metrics,AWS,2017
78,Amazon Elastic Compute Cloud (N. California),"10:56 AM PDT We are investigating increased API error rates and latencies in the US-WEST-1 Region. 11:27 AM PDT Between 10:22 AM and 10:33 AM PDT, and between 10:47 AM and 11:06 AM PDT, we experienced increased API error rates and latencies in the US-WEST-1 Region. APIs also returned insufficient-data in the results from EC2 instance status checks and CloudWatch alarms transitioned into ""INSUFFICIENT_DATA"" state if set on the delayed metrics. EC2 instances operated normally during this time. The issue has been resolved and the service is operating normally. ",[RESOLVED] Increased API Error Rates and Latencies,AWS,2020
130,Amazon CloudWatch (Oregon),"11:14 AM PDT We are investigating increased delays for CloudWatch metrics in the US-WEST-2 Region. CloudWatch alarms may transition into ""INSUFFICIENT_DATA"" state if set on delayed metrics.11:33 AM PDT We can confirm increased connection errors and latencies for CloudWatch APIs. Some CloudWatch metrics are delayed. We are actively working to resolve the issue.12:30 PM PDT We have identified the root cause of the increased connection errors and latencies for CloudWatch APIs, as well as the CloudWatch metric delays. We continue to work toward recovery.12:45 PM PDT We are beginning to see recovery and continue to work toward full recovery.  1:03 PM PDT Between 10:40 AM and 12:44 PM PDT we experienced increased connection errors and latencies for CloudWatch APIs. During this time CloudWatch alarms may have transitioned into ""INSUFFICIENT_DATA"" state if set on delayed metrics. The issue has been resolved and the service is operating normally. ",[RESOLVED] Delayed Metrics,AWS,2020
562,Amazon CloudWatch (N. Virginia)," 4:17 PM PDT We are investigating increased delays for CloudWatch log event processing for metric filter extraction and log subscriptions in the US-EAST-1 Region. CloudWatch alarms may transition into ""INSUFFICIENT_DATA"" state if set on metrics extracted using log filters. 5:00 PM PDT Between 3:23 PM and 4:48 PM PDT, some customers experienced increased delays for CloudWatch log event processing for metric filter extraction and log subscriptions in the US-EAST-1 Region. Metrics extracted using Logs Filter Patterns were delayed, and CloudWatch alarms on those delayed metrics transitioned into INSUFFICIENT_DATA state. We have resolved the issue. Delayed metrics and log events for subscriptions are in the process of backfilling. The service is operating normally.",[RESOLVED] Delayed Log Event Processing for Metric Filter Extraction and Subscriptions ,AWS,2017
158,Amazon CloudWatch (Ohio),"10:58 AM PDT We are investigating increased error rates and delays for CloudWatch Logs Insights queries in the US-EAST-2 Region.11:15 AM PDT Between 10:14 AM and 11:09 AM PDT, we experienced elevated error rates and delays when running CloudWatch Logs Insights queries in the US-EAST-2 Region. We have resolved the issue and the service is operating normally.",[RESOLVED] Increased Error Rates,AWS,2020
485,Amazon CloudWatch (Oregon), 4:18 AM PDT We are investigating elevated fault rates for the CloudWatch ListMetrics API in the US-WEST-2 Region. During this customers may experience increased faults in CloudWatch Console 5:14 AM PDT Between 3:28 AM and 5:00 AM PDT customers experienced elevated errors listing metrics via the CloudWatch ListMetrics API and the CloudWatch Management Console in the US-WEST-2 Region. The issue has been resolved and the service is operating normally.,[RESOLVED] Elevated ListMetrics API faults,AWS,2017
565,Amazon CloudWatch (N. Virginia)," 5:43 AM PST We are investigating increased faults for CloudWatch Logs APIs in the US-EAST-1 Region. Log events and metrics may be delayed. Alarms may transition into ""INSUFFICIENT_DATA"" state if set on delayed metrics. 6:02 AM PST We can confirm increased faults for CloudWatch Logs APIs in the US-EAST-1 Region. Log events and metrics are delayed. Alarms may transition into ""INSUFFICIENT_DATA"" state if set on delayed metrics. Customers will experience faults in the CloudWatch Logs Management Console. 6:42 AM PST Between 4:00 AM and 6:17 AM PST customers experienced elevated faults when calling CloudWatch Logs APIs in the US-EAST-1 Region. Log events and metrics were delayed, and CloudWatch alarms on delayed metrics transitioned into INSUFFICIENT_DATA state. We have resolved the issue. Delayed metrics and log events are in the process of backfilling in CloudWatch console graphs and for API retrieval. The issue has been resolved and the service is operating normally.",[RESOLVED] Elevated Faults for CloudWatch Logs APIs,AWS,2017
415,Amazon CloudWatch (Sydney)," 5:40 PM PST We are investigating increased delays for CloudWatch metric data extracted from CloudWatch Logs in the AP-SOUTHEAST-2 Region. CloudWatch alarms dependent on metrics extracted from logs may transition into ""INSUFFICIENT_DATA"" state.  5:51 PM PST Between 4:38 PM and 5:43 PM PST, some customers experienced increased delays for CloudWatch metrics extracted from CloudWatch Logs in the AP-SOUTHEAST-2 Region. CloudWatch alarms on delayed metrics may have transitioned into INSUFFICIENT_DATA state. We have resolved the issue. Delayed metrics are backfilled in CloudWatch console graphs and for API retrieval. The service is operating normally.",[RESOLVED] Delayed metrics extracted from logs in AP-SOUTHEAST-2,AWS,2017
733,Amazon CloudWatch (Oregon)," 1:21 PM PST We are investigating increased error rates and latencies for CloudWatch Logs APIs in the US-WEST-2 Region. Log events and metrics may be delayed. Alarms may transition into ""INSUFFICIENT_DATA"" state if set on delayed metrics. 1:42 PM PST Between 12:41 PM and 1:07 PM PST, we experienced elevated error rates when calling CloudWatch Logs APIs in the US-WEST-2 Region. Some log events and metrics were delayed, and CloudWatch alarms on delayed metrics transitioned into INSUFFICIENT_DATA state. We have resolved the issue. Delayed metrics and log events are in the process of backfilling in CloudWatch console graphs and for API retrieval. The issue is resolved and the service is operating normally.",[RESOLVED] Increased Error Rates and Latencies,AWS,2022
468,Amazon CloudWatch (N. Virginia),"10:00 AM PST We are investigating increased faults for CloudWatch alarms APIs and delays in processing some alarms in the US-EAST-1 Region.10:36 AM PST Between 9:29 AM and 10:00 AM PST, customers experienced increased faults for CloudWatch alarms APIs and delays in processing some alarms in the US-EAST-1 Region. The issue has been resolved and the service is operating normally.
",[RESOLVED] Elevated API Faults ,AWS,2017
199,Amazon CloudWatch (Oregon)," 6:45 PM PDT We can confirm that scheduled events are not being delivered via CloudWatch Events in the US-WEST-2 Region. We are actively working to resolve the issue.  6:51 PM PDT We can confirm that scheduled events are not being delivered via CloudWatch Events in the US-WEST-2. AWS Lambda functions that are invoked in response to CloudWatch events may not be getting invoked successfully. We are actively working to resolve the issue.

 7:35 PM PDT We have identified the root cause of the errors in scheduled event creation. We can confirm that AWS Lambda functions that are invoked in response to scheduled CloudWatch events are not getting invoked successfully. We are actively working towards recovery.  8:46 PM PDT We are starting to see recovery of scheduled CloudWatch event delivery. We are also starting to see recovery of AWS Lambda functions that were set up to be invoked from scheduled CloudWatch events.  9:37 PM PDT Starting at 5:27 PM PDT, there were delays delivering scheduled CloudWatch events. Recovery began at 7:36 PM PDT, and by 9:22 PM PDT the backlog of all previously scheduled CloudWatch events was successfully delivered. AWS Lambda functions that were configured to be triggered from scheduled CloudWatch events are now being invoked normally. During this entire duration all other kinds of CloudWatch events and other Lambda function invocations continued to operate normally. All issues are fully resolved and the services are operating normally.",[RESOLVED] Elevated Error Rates,AWS,2020
276,Amazon CloudWatch (Ireland)," 4:19 AM PDT We are investigating increased faults and latencies for CloudWatch APIs and metrics in the EU-WEST-1 Region. CloudWatch alarms may transition into ""INSUFFICIENT_DATA"" state if set on delayed metrics. 4:55 AM PDT Between 3:13 AM and 4:37 AM PDT, some customers experienced elevated faults when calling CloudWatch APIs in the EU-WEST-1 Region. Some metrics were delayed, and CloudWatch alarms on delayed metrics transitioned into INSUFFICIENT_DATA state. The issue has been resolved and the service is operating normally.",Elevated API faults and latencies in EU-WEST-1.,AWS,2020
335,Amazon CloudWatch (N. Virginia)," 6:38 AM PST We are investigating increased error rates for CloudWatch PutMetricData API in US-EAST-1 Region. 8:40 AM PST We can confirm elevated PutMetricData API error rates and some delayed metrics in US-EAST-1 Region. We are actively working to resolve the issue. 1:49 PM PST We are still seeing elevated PutMetricData API error rates and some delayed metrics in US-EAST-1 Region. We continue to work toward full recovery. 3:42 PM PST We continue to experience increased error rates impacting the PutMetricData API error rates, and delayed Cloudwatch metrics. We expect to begin seeing recovery once the on-going Kinesis issue is fully resolved. Once we have observed recovery, metrics will backfill if they were queued during the impact 5:31 PM PST We continue experience API error rates and delayed Cloudwatch metrics. We expect to begin seeing recovery once the on-going Kinesis issue is fully resolved. Once we have observed recovery, metrics will backfill if they were queued during the impact. 8:18 PM PST We continue to experience API error rates and delayed CloudWatch metrics. We expect to see recovery once the on-going Kinesis issue is fully resolved. Metrics will start to backfill once the Kinesis issue is resolved.10:44 PM PST We are beginning to see recovery in API error rates and delayed metrics as Kinesis recovers.10:56 PM PST Between 5:15 AM and 10:31 PM PST, some customers experienced elevated error rates when calling CloudWatch APIs in the US-EAST-1 Region. Metrics were delayed, and CloudWatch alarms on delayed metrics transitioned into the INSUFFICIENT_DATA state. We have resolved the issue. Delayed metrics are in the process of backfilling in CloudWatch console graphs and for API retrieval. The service is operating normally.",[RESOLVED] API Error Rates and Metric Delays,AWS,2020
669,Amazon Elastic Load Balancing (N. Virginia)," 8:21 PM PDT We are investigating increased provisioning latencies for new load balancers, delayed propagation of load balancer CloudWatch metrics, and inconsistent health check statuses from the DescribeTargetHealth API for Network Load Balancers in the US-EAST-1 Region.10:08 PM PDT We can confirm delayed propagation of load balancer CloudWatch metrics and provisioning latencies for Network Load Balancers in the US-EAST-1 Region, and are continuing to work towards resolution. Connectivity to existing load balancers is not affected.11:22 PM PDT Between 6:08 PM and 11:12 PM PDT, we experienced increased provisioning latencies for Network Load Balancers in the US-EAST-1 Region, which has now fully recovered. We are continuing to experience delays in the propagation of CloudWatch metrics for load balancers. The system used to generate these metrics has begun to recover, and we anticipate full recovery in the next few hours after we process the backlog of metrics.",[RESOLVED] Increased error rates,AWS,2022
434,Amazon CloudWatch (N. Virginia),"11:46 AM PST We can confirm impacts to the GetMetricStatistics API for metrics data more than two days old in the US-EAST-1 Region. Additionally, CloudWatch dashboards are currently unavailable. We are actively working to resolve the issue. Metric Graphs and GetMetricStatistic API requests configured to retrieve less than two days of data are working normally. 1:48 PM PST CloudWatch is starting to see service recovery. CloudWatch Metrics APIs fault rates and availability of data more than two days old has now recovered. CloudWatch Dashboards are now available for read only access. CloudWatch logs customers continue to experience elevated API faults and delayed log events. We are actively working to resolve the issue.  2:29 PM PST Between 9:37 AM and 1:17 PM PST, customers experienced elevated faults when making GetMetricStatistics API requests for metrics data more than two days old in the US-EAST-1 Region and CloudWatch Dashboards were unavailable. Between 9:37 AM and 2:05 PM PST, CloudWatch logs customers experienced elevated API faults and delayed log events. The issue has been resolved and the service is operating normally.",[RESOLVED] Increased Error Rates,AWS,2017
111,Amazon Chime," 1:00 PM PST We are investigating contact search latency issues in the US-EAST-1 Region. 1:17 PM PST We are investigating latency in the ability to search contacts, and the inability to add contacts to rooms and calls in the US-EAST-1 Region. Existing users, rooms, and scheduled calls are not impacted. 2:42 PM PST Between 11:38 AM and 2:19 PM PST, we experienced latency in the ability to search contacts, and the inability to add contacts to rooms and calls in the US-EAST-1 Region. The issue has been resolved and the service is operating normally.",[RESOLVED] Increased Error Rates,AWS,2020
91,AWS Lambda (Seoul), 4:29 PM PST We are investigating increased API error rates in the AP-NORTHEAST-2 Region. 5:18 PM PST We have identified the root cause and are seeing recovery. We continue to work toward full resolution.  6:19 PM PST Between 3:19 PM and 5:58 PM PST we experienced increased API error rates in the AP-NORTHEAST-2 Region. The issue has been resolved and the service is operating normally.,[RESOLVED] Increased Error Rates,AWS,2020
739,AWS IoT Core (N. Virginia),"11:43 AM PST We are investigating increased error rates and latency for the Identity, Registry, and Rules Engine APIs in the US-EAST-1 Region. Device connectivity, messaging and rules evaluations are unaffected.11:59 AM PST Between 10:34 AM and 11:46 AM PST we experienced increased error rates and latency for the Identity, Registry and Rules Engine APIs in the US-EAST-1 Region. Device connectivity, messaging and rules evaluations remained unaffected during the event. The issue has been resolved and the service is operating normally.",[RESOLVED] Increased API Error Rates and Latency,AWS,2022
638,AWS Lambda (US-West),"12:09 PM PST We are investigating increased invoke and API error rates in the US-GOV-WEST-1 Region.12:37 PM PST We can confirm increased invoke and API error rates in the US-GOV-WEST-1 Region. We have deployed a mitigation strategy and continue to work through full resolution. 1:06 PM PST Between 11:07 AM and 12:50 PM PST, we experienced increased invoke and API error rates in the US-GOV-WEST-1 Region. The issue has been resolved and the service is operating normally.",[RESOLVED] Increased API and Invoke Error Rates,AWS,2022
768,Amazon API Gateway (N. Virginia), 3:23 PM PST We continue to see increased error rates and latencies for invokes in the US-EAST-1 region. We have identified the root cause and are working towards resolution. 4:05 PM PST We continue to see increased error rates and latencies for invokes in the US-EAST-1 region. We have identified the root cause and are continuing to work towards resolution. 4:41 PM PST We have seen improvement in error rates and latencies for invokes in the US-EAST-1 region. We continue to drive towards full recovery. 5:23 PM PST Between 9:02 AM and 5:01 PM PST we experienced increased error rates and latencies for invokes in the US-EAST-1 Region. The issue has been resolved and the service is operating normally.,[RESOLVED] Elevated Errors and Latencies,AWS,2021
577,Amazon Elastic Container Service (Oregon), 4:49 PM PST We are investigating increased API error rates and latencies for the Amazon EC2 Container Service APIs in the US-WEST-2 Region. Container instance connectivity and running tasks are not affected. 5:38 PM PST We are investigating increased API error rates and latencies for the Amazon EC2 Container Service APIs in the US-WEST-2 Region and continue to work towards resolution. Container instance connectivity and running tasks are not affected. 6:56 PM PST Between 4:02 PM and 5:47 PM PST and also between 6:08 PM and 6:27 PM PST we experienced elevated latency and API error rates for the Amazon EC2 Container Service APIs in the US-WEST-2 Region. Container instance connectivity and running tasks were not affected during this time. The issue has been resolved and the service is operating normally.,[RESOLVED] Elevated Latency and API Error Rate,AWS,2017
